Year,County Id,County Name,"Horses, Mules and Asses",Cattle,Domestic Bison,Sheep,Swine,Goats,Poultry,Honey Bees,Alternative Livestock,Ratites,Llamas and Alpacas
2018,1,SILVER BOW,433,2881,,219,4,6,221,,,,17
2018,2,CASCADE,1832,47620,,4276,14587,267,76095,17,307,12,23
2018,3,YELLOWSTONE,2388,57520,743,1679,1597,395,18250,5013,,2,62
2018,4,MISSOULA,1312,3914,11,376,57,162,829,732,,4,34
2018,5,LEWIS AND CLARK,1913,25917,102,2710,1117,403,39080,1118,,1,43
2018,6,GALLATIN,3252,25584,1741,1429,118,495,4573,1628,,,173
2018,7,FLATHEAD,2223,4713,195,244,523,178,1408,348,82,38,145
2018,8,FERGUS,1720,96086,26,3671,183,64,1601,15,,2,53
2018,9,POWDER RIVER,1279,70231,8,10532,19,388,442,830,,,9
2018,10,CARBON,1183,29440,5,2806,91,148,534,3587,3,,56
2018,11,PHILLIPS,892,72781,718,3328,25,89,1955,,,3,6
2018,12,HILL,692,17650,,734,6938,41,78321,5,98,,10
2018,13,RAVALLI,2777,17080,331,1107,96,363,2933,35,24,18,221
2018,14,CUSTER,974,68766,,2902,10,423,333,417,,,43
2018,15,LAKE,1566,19361,,731,108,49,793,4565,,,36
2018,16,DAWSON,707,35381,,1031,7,89,322,,,,6
2018,17,ROOSEVELT,347,18171,15,1552,53,73,176,1962,,,3
2018,18,BEAVERHEAD,1442,102714,317,10423,5,80,493,1,,4,16
2018,19,CHOUTEAU,967,42365,2,285,555,97,352,603,,,4
2018,20,VALLEY,703,63000,,818,16,11,369,,,,4
2018,21,TOOLE,989,15770,,1782,3942,14,17247,,,,1
2018,22,BIG HORN,1234,64568,,591,23,45,276,4,,,7
2018,23,MUSSELSHELL,804,23958,,2089,86,166,558,4,7,,17
2018,24,BLAINE,728,60805,,1970,1360,60,45548,5317,,,12
2018,25,MADISON,1841,56233,2493,1026,14,55,814,2,,,3
2018,26,PONDERA,615,18913,1,4964,12032,73,94042,1502,,,6
2018,27,RICHLAND,450,34683,,1979,20,14,477,,18,,4
2018,28,POWELL,967,30438,97,371,6,28,429,1,,,5
2018,29,ROSEBUD,1027,63956,12,1512,77,76,326,,,,6
2018,30,DEER LODGE,237,4391,,137,,36,85,,,,15
2018,31,TETON,1349,42843,845,3793,2240,609,72506,650,12,,27
2018,32,STILLWATER,1156,29535,413,9542,17,800,468,2728,,3,8
2018,33,TREASURE,274,21217,,52,13,2,151,,,,3
2018,34,SHERIDAN,319,17968,,1008,10,16,85,,,,8
2018,35,SANDERS,674,8078,135,60,64,30,4809,3881,,1,10
2018,36,JUDITH BASIN,655,60787,1,6122,45,45,553,,,,4
2018,37,DANIELS,287,13374,,340,23,4,192,,,,2
2018,38,GLACIER,365,11798,70,669,9683,267,185450,75,,,6
2018,39,FALLON,597,37297,,1896,6,56,435,3564,,,3
2018,40,SWEET GRASS,1142,29686,100,3677,26,24,363,1119,,,3
2018,41,MCCONE,756,30986,,3424,2424,27,581,75,,,10
2018,42,CARTER,885,62447,69,16985,14,26,392,1934,,2,9
2018,43,BROADWATER,558,17471,35,2054,188,23,280,6,,,1
2018,44,WHEATLAND,416,33385,1,9495,6390,63,27896,1923,,,7
2018,45,PRAIRIE,386,34513,,1716,31,160,125,380,5,,4
2018,46,GRANITE,581,15209,,493,16,26,120,,,,3
2018,47,MEAGHER,474,40522,60,2805,221,5,14368,,,,1
2018,48,LIBERTY,158,11243,104,65,9636,,30837,,,,5
2018,49,PARK,2390,25746,26,1151,214,130,1545,2243,,2,102
2018,50,GARFIELD,1035,60681,234,11637,32,13,203,,,,
2018,51,JEFFERSON,1048,21517,,721,423,125,666,11,27,,12
2018,52,WIBAUX,347,19692,70,,3,4,191,12,,,
2018,53,GOLDEN VALLEY,374,14499,,9073,2017,456,24080,1383,,,4
2018,54,MINERAL,261,329,,,5,3,111,43,,,2
2018,55,PETROLEUM,272,23556,,1398,,15,96,40,,,
2018,56,LINCOLN,844,2024,,122,12,31,841,1512,,2,13
,TOTALS,,55097,1881293,8980,155572,77422,7348,756226,49285,583,94,1287